"","municipio_regiao"
"284","Prado Ferreira/RGI de Londrina"
"285","Pranchita/RGI de Francisco Beltrão"
"286","Presidente Castelo Branco/RGI de Maringá"
"287","Primeiro de Maio/RGI de Londrina"
"288","Prudentópolis/RGI de Guarapuava"
"289","Quarto Centenário/RGI de Campo Mourão"
"290","Quatiguá/RGI de Santo Antônio da Platina"
"291","Quatro Barras/RGI de Curitiba"
"292","Quatro Pontes/RGI de Marechal Cândido Rondon"
"293","Quedas do Iguaçu/RGI de Laranjeiras do Sul - Quedas do Iguaçu"
"294","Querência do Norte/RGI de Loanda"
"295","Quinta do Sol/RGI de Campo Mourão"
"296","Quitandinha/RGI de Curitiba"
"297","Ramilândia/RGI de Cascavel"
"298","Rancho Alegre/RGI de Cornélio Procópio - Bandeirantes"
"299","Rancho Alegre D'Oeste/RGI de Campo Mourão"
"300","Realeza/RGI de Francisco Beltrão"
"301","Rebouças/RGI de Irati"
"302","Renascença/RGI de Francisco Beltrão"
"303","Reserva/RGI de Telêmaco Borba"
"304","Reserva do Iguaçu/RGI de Guarapuava"
"305","Ribeirão Claro/RGI de Santo Antônio da Platina"
"306","Ribeirão do Pinhal/RGI de Santo Antônio da Platina"
"307","Rio Azul/RGI de Irati"
"308","Rio Bom/RGI de Apucarana"
"309","Rio Bonito do Iguaçu/RGI de Laranjeiras do Sul - Quedas do Iguaçu"
"310","Rio Branco do Ivaí/RGI de Ivaiporã"
"311","Rio Branco do Sul/RGI de Curitiba"
"312","Rio Negro/RGI de Curitiba"
"313","Rolândia/RGI de Londrina"
"314","Roncador/RGI de Campo Mourão"
"315","Rondon/RGI de Cianorte"
"316","Rosário do Ivaí/RGI de Ivaiporã"
"317","Sabáudia/RGI de Londrina"
"318","Salgado Filho/RGI de Francisco Beltrão"
"319","Salto do Itararé/RGI de Santo Antônio da Platina"
"320","Salto do Lontra/RGI de Dois Vizinhos"
"321","Santa Amélia/RGI de Cornélio Procópio - Bandeirantes"
"322","Santa Cecília do Pavão/RGI de Cornélio Procópio - Bandeirantes"
"323","Santa Cruz de Monte Castelo/RGI de Loanda"
"324","Santa Fé/RGI de Maringá"
"325","Santa Helena/RGI de Toledo"
"326","Santa Inês/RGI de Paranacity - Colorado"
"327","Santa Isabel do Ivaí/RGI de Loanda"
"328","Santa Izabel do Oeste/RGI de Francisco Beltrão"
"329","Santa Lúcia/RGI de Cascavel"
"330","Santa Maria do Oeste/RGI de Pitanga"
"331","Santa Mariana/RGI de Cornélio Procópio - Bandeirantes"
"332","Santa Mônica/RGI de Loanda"
"333","Santa Tereza do Oeste/RGI de Cascavel"
"334","Santa Terezinha de Itaipu/RGI de Foz do Iguaçu"
"335","Santana do Itararé/RGI de Santo Antônio da Platina"
"336","Santo Antônio da Platina/RGI de Santo Antônio da Platina"
"337","Santo Antônio do Caiuá/RGI de Paranavaí"
"338","Santo Antônio do Paraíso/RGI de Cornélio Procópio - Bandeirantes"
"339","Santo Antônio do Sudoeste/RGI de Francisco Beltrão"
"340","Santo Inácio/RGI de Paranacity - Colorado"
"341","São Carlos do Ivaí/RGI de Paranavaí"
"342","São Jerônimo da Serra/RGI de Cornélio Procópio - Bandeirantes"
"343","São João/RGI de Pato Branco"
"344","São João do Caiuá/RGI de Paranavaí"
"345","São João do Ivaí/RGI de Ivaiporã"
"346","São João do Triunfo/RGI de Ponta Grossa"
"347","São Jorge d'Oeste/RGI de Dois Vizinhos"
"348","São Jorge do Ivaí/RGI de Maringá"
"349","São Jorge do Patrocínio/RGI de Umuarama"
"350","São José da Boa Vista/RGI de Santo Antônio da Platina"
"351","São José das Palmeiras/RGI de Toledo"
"352","São José dos Pinhais/RGI de Curitiba"
"353","São Manoel do Paraná/RGI de Cianorte"
"354","São Mateus do Sul/RGI de União da Vitória"
"355","São Miguel do Iguaçu/RGI de Foz do Iguaçu"
"356","São Pedro do Iguaçu/RGI de Toledo"
"357","São Pedro do Ivaí/RGI de Apucarana"
"358","São Pedro do Paraná/RGI de Loanda"
"359","São Sebastião da Amoreira/RGI de Cornélio Procópio - Bandeirantes"
"360","São Tomé/RGI de Cianorte"
"361","Sapopema/RGI de Cornélio Procópio - Bandeirantes"
"362","Sarandi/RGI de Maringá"
"363","Saudade do Iguaçu/RGI de Pato Branco"
"364","Sengés/RGI de Ponta Grossa"
"365","Serranópolis do Iguaçu/RGI de Foz do Iguaçu"
"366","Sertaneja/RGI de Cornélio Procópio - Bandeirantes"
"367","Sertanópolis/RGI de Londrina"
"368","Siqueira Campos/RGI de Santo Antônio da Platina"
"369","Sulina/RGI de Pato Branco"
"370","Tamarana/RGI de Londrina"
